('BNA', '198303161020')
('DEN', '198304011800')
('OBK', '198303091830')
('DEN', '198303051055')
('JEX', '198303151403')
('FAM', '198303201426')
('ODK', '198304111500')
('OAK', '198304151845')
('IND', '198305051630')
('SJC', '198304251030')
('LGA', '198302181808')
('GMN', '198302061730')
('FDK', '198302191500')
('SHS', '198302040953')
('GFK', '198304051715')
('GLR', '198302021245')
('DAG', '198303031700')
('TEB', '198302211730')
('GEP', '198301301455')
('SBN', '198304211000')
('OTG', '198301081020')
('PIE', '198304041300')
('IAH', '198302181400')
('AMA', '198301211400')
('VNY', '198303131814')
('GVO', '198302020915')
('CGT', '198303211445')
('LAX', '198301301200')
('MCE', '198304291630')
('HTM', '198302111300')
('CIY', '198304271100')
('ELZ', '198304080935')
('PIA', '198302041230')
('OWB', '198301141330')
('CTR', '198302261100')
('MZB', '198304061131')
('TPH', '198302181000')
('CRL', '198304021400')
('POM', '198301191430')
('EUG', '198304011530')
('BFL', '198302011530')
('MBS', '198302131430')
('MZV', '198303201418')
('ALO', '198302091515')
('VCN', '198303041420')
('DAG', '198302231242')
('CVI', '198302241950')
('LAS', '198301171250')
('MYL', '198303081330')
('MOD', '198302201200')
('SLC', '198303041255')
('CAE', '198302261207')
('FRG', '198304031906')
('HUB', '198304011100')
('LWM', '198301081427')
('FAT', '198302072249')
('VNY', '198301310732')
('GBR', '198302041830')
('GRB', '198302120604')
('FWA', '198304181730')
('360', '198301201100')
('GSH', '198304141255')
('TEB', '198303171845')
('MHW', '198305011520')
('GCC', '198303162005')
('GEG', '198301131115')
('YIP', '198302150650')
('SMU', '198304091420')
('SBI', '198304031920')
('AMA', '198302010209')
('ALW', '198305100745')
('DRO', '198302252045')
('CHS', '198303311540')
('MKG', '198302271710')
('ADQ', '198301181500')
('OSI', '198305121715')
('APE', '198302040757')
('LOZ', '198303051758')
('BTT', '198304171500')
('SLC', '198303301943')
('AML', '198305062252')
('CVO', '198302151050')
('BMG', '198303021745')
('LGA', '198303220905')
('BUU', '198303031315')
('LYH', '198302160759')
('FAI', '198303061000')
('SHS', '198303311050')
('SHS', '198303311130')
('OAK', '198301140836')
('ADS', '198305061800')
('OMA', '198302030833')
('OCR', '198302052203')
('SJC', '198301091700')
('BET', '198302091145')
('9N1', '198304171350')
('BET', '198305041520')
('RND', '198307151405')
('PEN', '198307271700')
('GCN', '198307021410')
('SHB', '198306081045')
('PLN', '198307301920')
('OTH', '198305170830')
('JAX', '198305181145')
('OCR', '198305211445')
('BIL', '198305231840')
('BOS', '198305251710')
('DTN', '198305291430')
('DNY', '198306021530')
('GCC', '198306020700')
('MWH', '198306061000')
('FMN', '198306071405')
('SAF', '198306121845')
('FFO', '198306121845')
('UCA', '198306130810')
('YRK', '198306151830')
('MTU', '198306181930')
('BWD', '198306201000')
('GCC', '198306201830')
('TWF', '198306251031')
('DAY', '198306260800')
('IAH', '198306281545')
('DPA', '198306280630')
('MGY', '198307012130')
('APE', '198307011510')
('OAK', '198307021400')
('DEN', '198307271030')
('HIB', '198307180855')
('30MN', '198306041855')
('SGH', '198307051700')
('ENA', '198307091530')
('MKG', '198307230651')
('CRE', '198307221530')
('DPK', '198306051509')
('PNE', '198307212038')
('PLL', '198307070755')
('PHX', '198306270900')
('ALD', '198306230157')
('OSI', '198307291810')
('CYH', '198308051550')
('N10', '198305190900')
('BOI', '198307240815')
('OCN', '198306110515')
('LFK', '198307061600')
('GRR', '198307232217')
('DNY', '198307211130')
('BYI', '198308011350')
('SVM', '198307102050')
('BGQ', '198306181830')
('SCK', '198306300841')
('VWV', '198306272030')
('ORD', '198306231408')
('HOU', '198306111045')
('LGU', '198306191600')
('GFL', '198307281225')
('YQG', '198306042335')
('BSY', '198306090115')
('VNV', '198305262230')
('LLA', '198305311345')
('MVY', '198306111300')
('PIE', '198306301900')
('UCA', '198307201940')
('OKC', '198306060805')
('SBN', '198308051330')
('GIL', '198306031630')
('W66', '198306101030')
('ANC', '198307201930')
('CGT', '198305241045')
('BPT', '198307211120')
('RIC', '198308031620')
('PVD', '198307301815')
('ANC', '198306261300')
('YNG', '198305221930')
('BAE', '198305151845')
('BIL', '198306210915')
('PTK', '198305151545')
('TBC', '198305151500')
('OKC', '198305291550')
('26R', '198307031914')
('BDL', '198305281400')
('TVI', '198305291830')
('PGA', '198307051400')
('SPS', '198306261645')
('MGM', '198305220945')
('ANC', '198306241200')
('BGD', '198306210140')
('VEL', '198307081230')
('ANC', '198308061600')
('CVG', '198308031045')
('UCA', '198306091743')
('TUS', '198305191620')
('RDM', '198307121525')
('DFW', '198308042220')
('GRR', '198308050700')
('MZB', '198305291440')
('CRP', '198305221753')
('ROC', '198306141340')
('ACYT', '198307271415')
('OSH', '198307271315')
('CBC', '198307211300')
('GJT', '198307131500')
('HLN', '198307190720')
('LAX', '198307211420')
('ALB', '198309201530')
('RIC', '198310151804')
('ILG', '198308170724')
('PTK', '198308271100')
('ABR', '198309051800')
('MCB', '198311031630')
('JXN', '198309101123')
('DTL', '198309111230')
('APE', '198311141447')
('IND', '198308201200')
('JOT', '198309291500')
('EUG', '198310021645')
('MZB', '198309020930')
('TKA', '198311131630')
('EAT', '198309051850')
('ELZ', '198310231500')
('HTM', '198311191615')
('ENA', '198308300730')
('GAL', '198309291030')
('GCY', '198311140100')
('FTZ', '198310061642')
('LRD', '198308262145')
('LIT', '198309081915')
('YNG', '198310102130')
('VGT', '198309031500')
('NEO', '198310151')
('XGA', '198308201200')
('RIF', '198309141945')
('RRS', '198309051200')
('MSY', '198308291745')
('IPL', '198311191445')
('RAP', '198311131559')
('LAS', '198311251531')
('FTZ', '198311091319')
('OBK', '198311231927')
('BUJ', '198309231831')
('OCN', '1983090626')
('ENE', '198311041610')
('TWF', '198311191720')
('GEP', '198309111953')
('PLN', '198310271630')
('ALB', '198309050915')
('DEN', '198311140740')
('AZO', '198309031600')
('SAV', '198310281905')
('FWA', '198309082015')
('OCR', '198309122115')
('SLK', '198310101330')
('AOO', '198310021430')
('LEV', '198308091030')
('ODK', '198308261459')
('GRR', '198311110746')
('YIP', '198308251500')
('IAH', '198311131215')
('BLG', '198309031554')
('DEM', '198310011755')
('YKN', '198310041234')
('UNI', '198311251715')
('MZB', '198308151735')
('MIE', '198310071800')
('DFW', '198310091230')
('ELN', '198310111847')
('AGC', '198310131538')
('CRL', '198310150815')
('ABQ', '198310081130')
('SKF', '198310211645')
('DPA', '198311071915')
('PUB', '198309231315')
('LNN', '198311111630')
('SCK', '198311261530')
('UBG', '198309251840')
('LNK', '198308251700')
('PSX', '198310201339')
('ACY', '198308121630')
('HUB', '198311211500')
('MFR', '198311221902')
('STL', '198311232017')
('BGQ', '198311111400')
('OSI', '198311051220')
('UCA', '198310230930')
('OLM', '198309151900')
('PMM', '198309141930')
('GRW', '198309132230')
('OXI', '198309291730')
('LBB', '198309091000')
('MEM', '198309061830')
('OGD', '198309080555')
('DEN', '198309261750')
('FAT', '198308132230')
('FBR', '198308311530')
('JFN', '198309301450')
('AXN', '198308291830')
('GMZ', '198311120830')
('FDK', '198311100930')
('ALB', '198308212310')
('CPR', '198308210900')
('CGT', '198308152135')
('ELP', '198309231610')
('DFW', '198308161830')
('BUF', '198309251626')
('BDR', '198309291833')
('MMJ', '198308211725')
('NZC', '198309251215')
('BTY', '198309021330')
('STT', '198308100950')
('ATY', '198401301300')
('MSS', '198402061035')
('CLT', '198402161140')
('SBN', '198402011300')
('BML', '198401171145')
('OXI', '198401281400')
('VBT', '198401311331')
('SVM', '198402011400')
('PTK', '198402022100')
('RLG', '198402021700')
('CRL', '198402051400')
('CID', '198402071804')
('MLC', '198402070845')
('GTG', '198402141415')
('LZZ', '198402181200')
('HUB', '198402221130')
('BGQ', '198402221100')
('MOL', '198402251110')
('AGC', '198402250615')
('TRM', '198402260800')
('VEC', '198402271345')
('EMI', '198403031545')
('ITH', '198403041330')
('DEN', '198403061350')
('BUF', '198403090220')
('GTG', '198403111530')
('BYI', '198403111450')
('GPZ', '198403111138')
('CNX', '198403121920')
('LBB', '198403151100')
('DUP', '198403191405')
('FTW', '198403211830')
('RZC', '198403211450')
('LUE', '198403230300')
('UIM', '198403241230')
('VWO', '198403241643')
('OSH', '198403251146')
('CMK', '198403291000')
('HYA', '198403291052')
('SBA', '198403311345')
('OAK', '198403311700')
('STL', '198404021300')
('CGX', '198404041050')
('AML', '198404041915')
('SAC', '198404042030')
('MKK', '198402280920')
('SLC', '198401181400')
('LLA', '198403030837')
('AUN', '198403081004')
('ECG', '198403092345')
('FMY', '198402111430')
('LYH', '198403241400')
('HZL', '198403201230')
('LNK', '198401151217')
